FECHA,MERV,BVSP,GSPC,NDX,FTSE,GDAXI,FCHI,N225,HSI,SSEC,BSESN,ARSUSD,BRLUSD,GBPUSD,EURUSD,JPYUSD,HKDUSD,CNYUSD,USDARS_BLUE
14/12/1998,409.649994,6584,1141.199951,1614.089966,5534.5,4522.859863,3663.209961,14111.62012,9825.209961,1196.296021,2990.439941,1.0001,0.830082,1.6927,1.18091,0.008576,0.129065,0.120805,
15/12/1998,423.730011,6934,1162.829956,1663.780029,5557.100098,4574.5,3673.76001,14011.19043,9952.839844,1194.843994,2927.47998,1.0001,0.829944,1.685,1.17774,0.008627,0.129063,0.120805,
16/12/1998,427.600006,6619,1161.939941,1656.280029,5630.399902,4663.450195,3707.469971,14096.29981,9939.389648,1183.062012,2936.919922,1.0001,0.828981,1.6705,1.17575,0.008613,0.129076,0.120806,
17/12/1998,418.26001,6645,1179.97998,1689.630005,5685.200195,4723.810059,3751.169922,14126.99023,10083.30957,1160.089966,2864.439941,1.0001,0.828912,1.6735,1.1789,0.008685,0.129086,0.120806,
18/12/1998,424.059998,6782,1188.030029,1735,5741.899902,4629.22998,3691.889893,14194.29004,10226.23047,1155.089966,2875.090088,1.0001,0.828878,1.6817,1.17627,0.008604,0.129113,0.120806,
19/12/1998,,,,,,,,,,,,1.0001,0.828878,,1.1784,0.008645,0.129107,0.120808,
20/12/1998,,,,,,,,,,,,1.0001,0.828878,,1.17547,0.008663,0.129099,0.120804,
21/12/1998,436.420013,7202,1202.839966,1787.300049,5876.5,4780.930176,3803.409912,14152.9502,10396.00977,1154.427979,2973.370117,1.0001,0.828518,1.6839,1.16983,0.008552,0.12912,0.120799,
22/12/1998,436.51001,7115,1203.569946,1767.819946,5843.299805,4825.379883,3820.469971,13779.4502,10322.55957,1185.965942,2976.580078,1.0001,0.828226,1.6797,1.17054,0.008616,0.129142,0.120801,
23/12/1998,440.769989,7176,1228.540039,1818.959961,5908.799805,4951.77002,3872.419922,,10158.75,1172.511963,2962.5,1.0001,0.828191,1.678,1.16589,0.008611,0.129104,0.120795,
24/12/1998,443.690002,,1226.27002,1806.040039,5867.200195,,,13706.73047,10292.2002,1168.980957,2963.449951,1.0001,0.828191,1.674,1.1639,0.008618,0.129115,0.120795,
25/12/1998,,,,,,,,,,1173.912964,,1.0001,0.828191,1.6723,1.1639,0.008598,0.129115,0.120795,
26/12/1998,,,,,,,,,,,,1.0001,0.828191,,1.16476,0.0086,0.129113,0.120795,
27/12/1998,,,,,,,,,,,,1.0001,0.827849,,1.16407,0.008609,0.129099,0.120799,
28/12/1998,434,6899,1225.48999,1823.98999,,5044.77002,3873.100098,13709.05957,10170.13965,1159.937012,3054.72998,1.0001,0.827849,1.6763,1.16885,0.008664,0.129078,0.120793,
